Draft(M),Disp(M3),VCB(M),LCB(M),LCF(M),KM(M3),TPC(Ton),W.P Area(M2),
4,30755.8673333333,2.06542354198534,129.966498744236,129.405747471326,37.8451175234322,84.0123141666667,8196.32333333334,
5,39013.7004444445,2.58108001854528,129.822000389071,129.142662011866,31.5906478813915,85.250767,8317.148,
6,47386.3817777778,3.09694953240152,129.665573613137,128.68778173191,27.5499937548621,86.372937,8426.628,
7,55868.9133333333,3.6138310045487,129.462265689713,127.900487678002,24.78645222096,87.5398311666667,8540.47133333333,
8,64472.9042222222,4.13259443711391,129.178953352493,126.715146524671,22.835380022116,88.8783035,8671.054,
9,73220.2107777778,4.65454466080728,128.788831299413,125.024742564471,21.4329769774723,90.4973183333333,8829.00666666667,
10,82130.1242222222,5.18031426114244,128.281756387565,123.281440340483,20.4136578529707,92.0919381666667,8984.57933333333,
11,91178.7949722222,5.70831530776314,127.71144335884,121.878896780097,19.674685496232,93.3149408333334,9103.89666666667,
12,100339.239777778,6.23725068463799,127.112191550522,120.265210774747,19.1471462475566,94.5786018333334,9227.18066666667,
13,109612.638722222,6.76710782100165,126.477641622954,119.082552263101,18.7596619312966,95.4161635,9308.894,
