LBP,238,,,,,,,,,,,,,,,
NumberOfWaterLine,16,,,,,,,,,,,,,,,
NumberOfStation,21,,,,,,,,,,,,,,,
Offset,B.LWL,1.0WL,2.0WL,3.0WL,4.0WL,5.0WL,6.0WL,7.0WL,8.0WL,9.0WL,10.0WL,11.0WL,12.0WL,13.0WL,14.0WL,15.0WL
A.P.,0,0,0,0,0,0,0,0,0,0,0,0,4.17,6.45,7.9,8.85
1.00st,0,1.36,1.86,1.9,1.7,1.4,1.3,1.64,2.77,5.08,7.85,10.01,11.68,12.97,13.94,14.65
2.00st,2.04,4.33,5.07,5.64,6.16,6.84,7.7,8.98,10.59,12.43,14.17,15.59,16.82,17.79,18.5,18.97
3.00st,5.26,8.29,9.62,10.76,11.84,12.95,14.09,15.3,16.47,17.58,18.53,19.32,20.01,20.55,20.89,21.1
4.00st,9.21,12.34,14.1,15.56,16.76,17.72,18.57,19.31,19.94,20.46,20.86,21.2,21.44,21.54,21.55,21.55
5.00st,12.94,16.15,17.73,18.85,19.66,20.29,20.79,21.14,21.39,21.54,21.55,21.55,21.55,21.55,21.55,21.55
6.00st,16.2,19.02,20.15,20.85,21.24,21.47,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
7.00st,18.61,20.76,21.29,21.52,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
8.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
9.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
10.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
11.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
12.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
13.00st,19.55,21.28,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
14.00st,19.53,21.27,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
15.00st,19.15,21.2,21.53,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
16.00st,17.63,20.23,20.96,21.28,21.45,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
17.00st,14.41,17.9,19.09,19.84,20.36,20.73,20.96,21.07,21.11,21.12,21.12,21.12,21.12,21.12,21.12,21.12
18.00st,9.64,13.83,15.3,16.32,17.11,17.69,18.13,18.47,18.72,18.84,18.93,18.94,18.94,18.94,18.94,18.94
19.00st,4.04,8.18,9.7,10.8,11.6,12.22,12.72,13.09,13.37,13.56,13.7,13.78,13.82,13.83,13.83,13.84
F.P.,0,1.17,2.37,3.1,3.67,4.08,4.34,4.45,4.45,4.32,3.99,3.37,2.2,0.72,0,0.57
